,name,year,imdb,number_votes,age_rating,runtime,genres,actors
851,Proven Innocent,(2019),6.4,2187,none,60,"Crime, Drama, Mystery","Rachelle Lefevre, Russell Hornsby, Vincent Kartheiser, Nikki M. James"
852,The Final Table,(2018– ),7.7,2184,none,60,Reality-TV,"Andrew Knowlton, Mark Best, Shane Osborn, Grant Achatz"
853,State of the Union,(2019– ),7.9,2183,none,10,"Short, Comedy, Drama","Chris O'Dowd, Rosamund Pike, Janet Amsden, Jeff Rawle"
854,The Halcyon,(2017),7.4,2183,none,60,"Drama, War","Annabelle Apsion, Mark Benton, Jamie Blackley, Edward Bluemel"
855,The Family: Democracia Ameaçada,(2019– ),6.4,2181,none,249,Documentary,"James Cromwell, Jeff Sharlet, Doug Hampton, Tessa Albertson"
856,Degrassi: Next Class,(2016– ),7.0,2171,none,30,"Drama, Romance","Nikki Gould, Amanda Arcuri, Sara Waisglass, Ehren Kassam"
857,Au service de la France,(2015– ),7.8,2166,none,26,Comedy,"Hugo Becker, Wilfred Benaïche, Christophe Kourotchkine, Karim Barras"
858,New Blood,(2016– ),7.4,2164,none,60,"Crime, Drama, Mystery","Mark Strepan, Ben Tavassoli, Mark Addy, Anna Chancellor"
859,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",(2015– ),7.5,2163,none,24,"Animation, Action, Adventure","Jun'ichi Suwabe, Nao Tôyama, Hisako Kanemoto, Risa Taneda"
860,Sigeuneol,(2016– ),8.8,2156,none,80,"Crime, Drama, Fantasy","Lee Jehoon, Hye-su Kim, Jin-woong Cho, Hyun-Sung Jang"
861,Real Rob,(2015– ),6.4,2149,none,30,Comedy,"Rob Schneider, Patricia Maya Schneider, Jamie Lissow, Miranda Scarlett Schneider"
862,Alone,(2015– ),8.4,2146,none,44,"Documentary, Reality-TV","Nicole Apelian, Dan, David, Desmond"
863,Baki,(2018– ),6.7,2143,none,45,"Animation, Action, Sport","Tôru Furuya, Kirk Thornton, Troy Baker, Nobunaga Shimazaki"
864,Ugly Delicious,(2018– ),7.8,2142,none,50,Documentary,"David Chang, Peter Meehan, Aziz Ansari, Rene Redzepi"
865,The Team,(2015– ),7.0,2136,none,60,"Crime, Drama","Lars Mikkelsen, Jürgen Vogel, Jasmin Gerat, Marie Bach Hansen"
866,The Name of the Rose,(2019– ),6.9,2135,none,60,"Drama, Mystery, Thriller","John Turturro, Rupert Everett, Damian Hardung, Fabrizio Bentivoglio"
867,On Becoming a God in Central Florida,(2019– ),7.3,2133,none,46,Comedy,"Kirsten Dunst, Théodore Pellerin, Mel Rodriguez, Beth Ditto"
868,Upstart Crow,(2016– ),7.5,2128,none,29,"Comedy, History","David Mitchell, Gemma Whelan, Rob Rouse, Liza Tarbuck"
869,Clique,(2017– ),7.0,2124,none,43,"Drama, Thriller","Rachel Hurd-Wood, Synnove Karlsen, Sophia Brown, Izuka Hoyle"
870,Dietland,(2015–2018),6.4,2119,none,45,"Comedy, Drama","Joy Nash, Tamara Tunie, Robin Weigert, Rowena King"
871,Sanditon,(2019),7.6,2113,none,none,Drama,"Crystal Clarke, Charlotte Spencer, Kate Ashfield, Mark Stanley"
872,That Time I Got Reincarnated as a Slime,(2018– ),8.0,2110,none,25,"Animation, Action, Adventure","Miho Okasaki, Megumi Toyoguchi, Chikahiro Kobayashi, Brittney Karbowski"
873,Forged in Fire,(2015– ),8.4,2108,none,42,"Game-Show, Reality-TV","Wil Willis, J. Neilson, David Lain Baker, Doug Marcaida"
874,The Guest Book,(2017– ),7.0,2107,none,30,Comedy,"Carly Jibson, Eddie Steeples, Charles Robinson, Lou Wilson"
875,ReLIFE,(2016– ),7.7,2103,none,24,"Animation, Comedy, Drama","Josh Grelle, Micah Solusod, Kristen McGuire, Jeannie Tirado"
876,Heathers,(2018– ),5.6,2098,none,30,"Comedy, Crime, Drama","Grace Victoria Cox, Melanie Field, James Scully, Brendan Scannell"
877,Burden of Truth,(2018– ),7.2,2089,none,60,Drama,"Peter Mooney, Kristin Kreuk, Star Slade, Meegwun Fairbrother"
878,Other Space,(2015),7.1,2089,none,30,"Adventure, Comedy, Sci-Fi","Trace Beaulieu, Neil Casey, Eugene Cordero, Joel Hodgson"
879,Huge in France,(2019– ),6.8,2086,none,30,Comedy,"Gad Elmaleh, Matthew Del Negro, Erinn Hayes, Scott Keiji Takeda"
880,Acampados,(2015–2020),5.4,2086,none,30,"Comedy, Family","Miranda May, Peyton List, Karan Brar, Skai Jackson"
881,As Casas Mais Extraordinárias do Mundo,(2017–2018),7.5,2078,none,59,Documentary,"Caroline Quentin, Piers Taylor, Michael Seresin, none"
882,Con Man,(2015–2017),7.8,2075,none,12,Comedy,"Alan Tudyk, Mindy Sterling, Nathan Fillion, Casper Van Dien"
883,Hostages,(2019– ),6.9,2074,none,42,Thriller,"Ronit Roy, Tisca Chopra, Parvin Dabas, Anangsha Biswas"
884,The K2,(2016),7.8,2071,none,60,"Drama, Romance, Thriller","Chang-Wook Ji, Yun-ah Song, Yoon-ah Im, Sung-ha Jo"
885,Better Late Than Never,(2016–2018),8.4,2053,none,60,Comedy,"Henry Winkler, William Shatner, Terry Bradshaw, George Foreman"
886,Ghosts,(2019– ),7.8,2051,none,30,"Comedy, Fantasy","Laurence Rickard, Lolly Adefope, Mathew Baynton, Simon Farnaby"
887,L.A.'s Finest,(2019– ),5.7,2050,none,60,"Action, Comedy, Crime","Jessica Alba, Gabrielle Union, Sophie Reynolds, Ernie Hudson"
888,This Time with Alan Partridge,(2019– ),8.1,2049,none,30,"Comedy, Talk-Show","Steve Coogan, Susannah Fielding, Felicity Montagu, Tim Key"
889,Real Detective,(2016– ),8.1,2048,none,43,"Documentary, Crime, Drama","Michael Douglas Cake, Liana Montoro, Tyrone Benskin, Mizinga Mwinga"
890,Ishqbaaaz,(2016–2019),5.6,2047,none,22,"Drama, Family, Romance","Nakuul Mehta, Surbhi Chandna, Kunal Jaisingh, Leenesh Mattoo"
891,The Making of the Mob,(2015– ),7.9,2035,none,343,"Documentary, Crime, History","Ian Bell, Craig Thomas Rivela, Rich Graff, John Binder"
892,Dimension 404,(2017– ),6.6,2031,none,40,"Adventure, Comedy, Drama","Mark Hamill, Catherine Farrington Garcia, Robert Buckley, Sarah Hyland"
893,The Split,(2018–2020),7.4,2027,none,60,Drama,"Nicola Walker, Stephen Mangan, Annabel Scholey, Fiona Button"
894,Schooled,(2019– ),6.9,2026,none,30,Comedy,"Tim Meadows, Bryan Callen, Brett Dier, AJ Michalka"
895,É o Bruno,(2019– ),7.5,2026,none,15,Comedy,"Solvan Naim, Bruno, Sam Eliad, Donnell Rawlings"
896,Osmosis,(2019– ),5.9,2021,none,55,"Romance, Sci-Fi","Agathe Bonitzer, Hugo Becker, Gaël Kamilindi, Manoel Dupont"
897,De Dag,(2018),8.4,2020,none,60,"Action, Crime, Drama","Jeroen Perceval, Liesa Van der Aa, Sophie Decleir, Dolores Bouckaert"
898,Cheese in the Trap,(2016),7.5,2017,none,60,"Comedy, Romance","Hae-Jin Park, Go-eun Kim, Kang-Joon Seo, Song-Kyoung Lee"
899,Hitler's Circle of Evil,(2018),8.1,2014,none,52,"Documentary, Biography, History","Jonathon Michaels, Alisdair Simpson, Conan Sweeny, Steve Munroe"
900,Meteor Garden,(2018– ),8.2,2010,none,45,"Drama, Romance","Dylan Wang, Yue Shen, Xize Wu, Darren Chen"
901,No: 309,(2016–2017),4.5,2009,none,120,"Comedy, Romance","Demet Özdemir, Furkan Palali, Sumru Yavrucuk, Gökçe Özyol"
902,The Jim Jefferies Show,(2017–2019),7.2,1995,none,21,"Comedy, News, Talk-Show","Jim Jefferies, Brad Pitt, Seth Rogen, Dan Bakkedahl"
903,Alexa & Katie,(2018– ),7.3,1991,none,25,"Comedy, Drama","Paris Berelc, Isabel May, Jolie Jenkins, Emery Kelly"
904,Brassic,(2019– ),8.2,1982,none,43,Comedy,"Joseph Gilgun, Michelle Keegan, Damien Molony, Tom Hanson"
905,Saiki Kusuo no Psi Nan,(2016– ),8.3,1981,none,24,"Animation, Comedy, Fantasy","Hiroshi Kamiya, Daisuke Ono, Nobunaga Shimazaki, Ai Kayano"
906,Trust Me,(2017–2019),7.0,1980,none,55,"Drama, Thriller","Jodie Whittaker, Emun Elliott, Lois Chimimba, Summer Mason"
907,Deutschland 86,(2018),7.6,1979,none,60,"Action, Drama, History","Jonas Nay, Maria Schrader, Florence Kasumba, Sylvester Groth"
908,Corporate,(2018– ),7.5,1978,none,30,Comedy,"Anne Dudek, Matt Ingebretson, Jake Weisman, Adam Lustick"
909,The Curious Creations of Christine McConnell,(2018– ),7.7,1976,none,26,"Comedy, Horror, Talk-Show","Mick Morgana Ignis, Tim Lagasse, Drew Massey, Christine H. McConnell"
910,A Casa da Raven,(2017– ),7.5,1972,none,22,"Comedy, Family","Jason Maybaum, Sky Katz, Anneliese van der Pol, Raven-Symoné"
911,Beat,(2018),7.4,1969,none,60,"Drama, Thriller","Jannis Niewöhner, Karoline Herfurth, Christian Berkel, Alexander Fehling"
912,Creepshow,(2019– ),7.1,1963,none,none,"Fantasy, Horror","Carey Jones, Logan Allen, Adrienne Barbeau, Connor Christie"
913,Eu Vi,(2018– ),4.6,1961,none,24,"Horror, Reality-TV","Vanda Chaloupková, Hana Baronová, Vojtech Hýzdal, Janek Gregor"
914,The Bay,(2019– ),6.8,1958,none,60,"Crime, Drama","Morven Christie, Jonas Armstrong, Lindsey Coulson, Imogen King"
915,Mind Field,(2017– ),8.8,1956,none,26,Documentary,"Michael Stevens, Trin Miller, Robin Carhart-Harris, William Brown"
916,Black,(2017),8.1,1953,none,50,"Crime, Drama, Fantasy","Seung-heon Song, Ara Go, Lee El, Jae-yoon Jo"
917,Swedish Dicks,(2016– ),6.5,1941,none,30,"Comedy, Crime","Peter Stormare, Johan Glans, Vivian Bang, Felisha Cooper"
918,Somebody Feed Phil,(2018– ),8.1,1940,none,60,Documentary,"Phil Rosenthal, Monica Horan, Calvin Godfrey, Judy Gold"
919,Expedition Unknown,(2015– ),8.3,1929,none,60,"Adventure, Mystery, Reality-TV","Josh Gates, Evan B. Stone, Oren Gutfeld, Brian C. Weed"
920,I Am Cait,(2015– ),3.5,1923,none,60,Documentary,"Caitlyn Jenner, Courtney Nanson, Candis Cayne, Chandi Moore"
921,World on Fire,(2019– ),7.1,1916,none,57,"Drama, War","Jonah Hauer-King, Julia Brown, Helen Hunt, Sean Bean"
922,Criminal: Espanha,(2019– ),6.9,1913,none,40,"Crime, Drama","Emma Suárez, Jorge Bosch, Álvaro Cervantes, María Morales"
923,Tucker Carlson Tonight,(2016– ),6.2,1907,none,60,"News, Talk-Show","Tucker Carlson, Trace Gallagher, Mark Steyn, Tammy Bruce"
924,Ufak Tefek Cinayetler,(2017–2018),7.4,1906,none,120,"Action, Crime, Drama","Gökçe Bahadir, Aslihan Gürbüz, Mert Firat, Yildiray Sahinler"
925,Rise of the Teenage Mutant Ninja Turtles,(2018– ),5.1,1905,none,22,"Animation, Short, Action","Ben Schwartz, Brandon Mychal Smith, Omar Benson Miller, Josh Brener"
926,Ölene Kadar,(2017),7.4,1905,none,120,Drama,"Engin Akyürek, Fahriye Evcen Özçivit, Gülcan Arslan, Sarp Levendoglu"
927,The Joel McHale Show with Joel McHale,(2018– ),7.2,1903,none,30,Comedy,"Joel McHale, Paul Feig, Brad Stevens, Dominic DeLeo"
928,Bonusfamiljen,(2017– ),7.7,1901,none,44,"Comedy, Drama","Vera Vitali, Erik Johansson, Petra Mede, Fredrik Hallgren"
929,Moonbeam City,(2015),6.9,1890,none,22,"Animation, Comedy, Mystery","Elizabeth Banks, Will Forte, Rob Lowe, Kate Mara"
930,Pandora,(2019– ),3.9,1887,none,42,"Action, Drama, Sci-Fi","Priscilla Quintana, Oliver Dench, Raechelle Banno, Ben Radcliffe"
931,Kobayashi-san Chi No Maid Dragon,(2017),7.7,1885,14,24,"Animation, Comedy, Fantasy","Mutsumi Tamura, Yuuki Kuwahara, Maria Naganawa, Kerstin Julia Dietrich"
932,Dolunay,(2017),6.8,1882,none,120,"Comedy, Romance","Özge Gürel, Can Yaman, Hakan Kurtas, Necip Memili"
933,Shots Fired,(2017),6.4,1881,none,43,"Crime, Drama","Sanaa Lathan, Stephan James, Stephen Moyer, Will Patton"
934,Caçando Hitler,(2015– ),7.5,1873,none,42,"Documentary, History","Dave Hoffman, Robert Baer, Tim Kennedy, Lenny DePaul"
935,Paquita Salas,(2016– ),8.0,1871,none,none,Comedy,"Brays Efe, Belén Cuesta, Lidia San José, Álex de Lucas"
936,Chelsea,(2016– ),6.1,1865,none,30,"Comedy, Talk-Show","Chelsea Handler, Jeff Wild, Daniel Maurio, Bryce McLeay"
937,Love Island,(2015– ),5.1,1864,none,60,"Reality-TV, Romance","Iain Stirling, Caroline Flack, Alexandra Cane, Alex Miller"
938,BOSS: Baap of Special Services,(2019– ),8.2,1860,none,30,Action,"Karan Singh Grover, Sagarika Ghatge, Ashmita Kaur Bakshi, Gaurav Gera"
939,Strangers,(2018– ),6.3,1859,none,60,"Crime, Drama, Thriller","John Simm, Anthony Chau-Sang Wong, Katie Leung, Rosalind Halstead"
940,Crowded,(2016),6.4,1849,none,21,Comedy,"Patrick Warburton, Carrie Preston, Miranda Cosgrove, Mia Serafino"
941,Bancroft,(2017– ),6.7,1846,none,60,"Crime, Drama, Mystery","Sarah Parish, Ryan McKen, Adam Long, Lee Boardman"
942,Little Witch Academia,(2017),8.0,1845,none,25,"Animation, Comedy, Family","Megumi Han, Erica Mendez, Alexis Nichols, Fumiko Orikasa"
943,I Am a Killer,(2018),7.5,1844,none,52,"Documentary, Crime","Reece Putinas, Deandra Buchanan, Asher Carter, Justin Dickens"
944,Tiempos de guerra,(2017),7.7,1838,none,70,"Drama, War","Amaia Salamanca, Álex García, Verónica Sánchez, Álex Gadea"
945,Roboti Aniya,(2017–2018),8.0,1837,none,35,"Comedy, Romance, Sci-Fi","Seung-eon Hwang, Se-wan Park, Seung-ho Yoo, Soo-bin Chae"
946,Traitors,(2019– ),6.5,1837,none,60,Thriller,"Emma Appleton, Luke Treadaway, Michael Stuhlbarg, Keeley Hawes"
947,Hidden,(2018– ),7.1,1837,none,60,"Crime, Drama, Mystery","Sian Reese-Williams, Sion Alun Davies, Victoria Pugh, Nia Roberts"
948,Mum,(2016–2019),8.2,1837,none,30,Comedy,"Lesley Manville, Peter Mullan, Sam Swainsbury, Lisa McGrillis"
949,Jerks,(2017– ),8.4,1834,none,22,Comedy,"Christian Ulmen, Fahri Yardim, Pheline Roggan, Collien Ulmen-Fernandes"
950,Bless This Mess,(2019– ),6.5,1833,none,30,Comedy,"Dax Shepard, Lake Bell, David Koechner, JT Neal"
951,Greatest Events of WWII in Colour,(2019– ),8.8,1829,none,50,"Documentary, History, War","Derek Jacobi, Geoffrey Wawro, James Holland, Saul David"
952,Bulletproof,(2018– ),6.2,1823,none,60,"Action, Comedy, Crime","Jason Maza, David Elliot, Olivia Chenery, Hiten Patel"
953,Gandii Baat,(2018– ),3.7,1820,none,40,"Crime, Drama, Thriller","Vikas Verma, Neetha Shetty, Mrinalini Tyagi, Rohit Choudhury"
954,Doubt,(2017),5.5,1816,none,42,Drama,"Katherine Heigl, Dulé Hill, Laverne Cox, Dreama Walker"
955,Sweet/Vicious,(2016–2017),7.7,1814,none,38,"Action, Comedy, Crime","Eliza Bennett, Taylor Dearden, Brandon Mychal Smith, Nick Fink"
956,Ultimate Beastmaster,(2017– ),7.3,1812,none,55,"Game-Show, Reality-TV","Tiki Barber, Rafinha Bastos, Luis Ernesto Franco, Inés Sainz"
957,Booo: Sabki Phategi,(2019– ),7.3,1808,none,20,"Comedy, Horror","Tusshar Kapoor, Mallika Sherawat, Krishna Abhishek, Sanjay Mishra"
958,Friday Five Sharp,(2015– ),9.9,1807,none,none,Comedy,"Kitodar Todorov, none, none, none"
959,The Same Sky,(2017– ),7.5,1806,none,120,"Drama, Thriller","Tom Schilling, Sofia Helin, Friederike Becht, Ben Becker"
960,HarmonQuest,(2016– ),8.3,1805,none,23,"Animation, Adventure, Comedy","Dan Harmon, Spencer Crittenden, Jeff Bryan Davis, Erin McGathy"
961,Gåsmamman,(2015– ),7.5,1804,none,45,Thriller,"Alexandra Rapaport, Clara Christiansson, Edvin Ryding, Joel Lützow"
962,Alhambeura Goongjeonui Chooeok,(2018– ),7.8,1797,none,60,"Drama, Romance, Sci-Fi","Shin-Hye Park, Hyun Bin, Jin-Woong Min, Park Hoon"
963,Coldd Lassi Aur Chicken Masala,(2019– ),8.5,1797,none,30,Romance,"Divyanka Tripathi, Rajeev Khandelwal, Barkha Sengupta, Maninee Mishra"
964,"Ssam, Maiwei",(2017),8.1,1789,none,70,"Comedy, Romance","Seo-joon Park, Ji-won Kim, Jae-hong Ahn, Ha-Yoon Song"
965,Just Add Magic,(2015– ),8.2,1789,none,27,"Comedy, Family, Fantasy","Olivia Sanabia, Abby Donnelly, Aubrey K. Miller, Judah Bellamy"
966,Sifir Bir,(2016–2019),8.3,1788,none,45,"Action, Crime, Drama","Savas Satis, Burak Sahin, Onur Akbay, Bertan Uçar"
967,Criminal: França,(2019– ),7.2,1779,none,39,"Crime, Drama","Margot Bancilhon, Laurent Lucas, Stéphane Jobert, Anne Azoulay"
968,"Alex, Inc.",(2018),5.7,1774,none,30,Comedy,"Zach Braff, Tiya Sircar, Hillary Anne Matthews, Elisha Henig"
969,Will,(2017),6.8,1772,none,60,Drama,"Laurie Davidson, Olivia DeJonge, Ewen Bremner, Mattias Inwood"
970,Drifters,(2016– ),7.8,1772,none,24,"Animation, Action, Adventure","Justin Briner, Jacob Browning, Josh Grelle, Mikaela Krantz"
971,Uspjeh,(2019– ),8.0,1770,none,50,"Crime, Drama","Uliks Fehmiu, Filip Mayer, Iva Mihalic, Ivana Roscic"
972,The Village,(2019),7.4,1756,none,60,Drama,"Moran Atias, Dominic Chianese, Warren Christie, Frankie Faison"
973,The Break with Michelle Wolf,(2018– ),5.2,1751,none,none,Comedy,"Michelle Wolf, D.J. Jer-z, Michael Hartney, Evan Kaufman"
974,Case,(2015– ),7.2,1749,none,45,"Crime, Drama, Mystery","Steinunn Ólína Þorsteinsdóttir, Magnús Jónsson, Birna Rún Eiríksdóttir, Elma Stefania Agustsdottir"
975,TVF Bachelors,(2016– ),8.3,1748,none,none,Comedy,"Jasmeet Singh Bhatia, Shivankit Singh Parihar, Gopal Dutt, Badri Chavan"
976,Truth Be Told,(2019– ),7.3,1746,none,45,"Crime, Drama, Thriller","Octavia Spencer, Lizzy Caplan, Michael Beach, Mekhi Phifer"
977,Ben 10,(2016– ),2.5,1741,none,12,"Animation, Short, Action","Montse Hernandez, Tara Strong, David Kaye, Roger Craig Smith"
978,The Comedians,(2015),6.7,1740,none,22,Comedy,"Billy Crystal, Josh Gad, Stephnie Weir, Matt Oberg"
979,Mission Over Mars,(2019– ),8.9,1739,none,21,"Drama, History","Sakshi Tanwar, Mona Singh, Nidhi Singh, Palomi Ghosh"
980,No Good Nick,(2019),5.8,1735,none,30,"Comedy, Family","Siena Agudong, Lauren Lindsey Donzis, Kalama Epstein, Sean Astin"
981,Seishun Buta Yaro wa Bunny Girl-senpai no Yume wo Minai,(2018– ),8.0,1734,none,24,"Animation, Drama, Fantasy","Kaito Ishikawa, Asami Seto, Yurika Kubo, Atsumi Tanezaki"
982,"Seven Worlds, One Planet",(2019– ),9.4,1724,none,407,Documentary,"David Attenborough, Peter Drost, none, none"
983,Fittrat,(2019– ),8.9,1724,none,25,"Drama, Romance","Jan Kamar, Krystle D'Souza, Aditya Seal, Anushka Ranjan"
984,Reprisal,(2019– ),7.5,1723,none,51,"Crime, Drama, Thriller","Abigail Spencer, Rodrigo Santoro, Mena Massoud, Madison Davenport"
985,Andi Mack,(2017–2019),7.3,1722,none,25,"Comedy, Family","Peyton Elizabeth Lee, Joshua Rush, Sofia Wylie, Asher Angel"
986,The Collection,(2016– ),7.1,1720,none,60,"Drama, History, Romance","Richard Coyle, Mamie Gummer, Tom Riley, Alix Poisson"
987,Bap Jal Sajuneun Yeppeun Nuna,(2018),8.2,1717,none,75,"Drama, Romance","Ye-jin Son, Hae-In Jung, Min-Kyung Joo, So-yeon Jang"
988,Soosanghan Pateuneo,(2017),8.0,1714,none,30,"Comedy, Crime, Romance","Tae-Joon Choi, Chang-Wook Ji, Ju-hyeong Jin, Ji-Hyun Nam"
989,Blinded by the Lights,(2018– ),7.8,1711,none,60,"Crime, Drama","Kamil Nozynski, Jan Frycz, Robert Wieckiewicz, Janusz Chabior"
990,Hai to gensô no Grimgar,(2016– ),7.5,1708,none,24,"Animation, Adventure, Drama","Ricco Fajardo, Jarrod Greene, Orion Pitts, Jeannie Tirado"
991,All or Nothing: A Season with the Arizona Cardinals,(2016– ),8.6,1705,none,50,"Reality-TV, Sport","Michael Bidwill, Steve Keim, Bruce Arians, Carson Palmer"
992,All Rise,(2019– ),6.3,1705,none,44,Drama,"Simone Missick, Wilson Bethel, Jessica Camacho, J. Alex Brinson"
993,1992,(2015– ),7.5,1703,none,none,Drama,"Stefano Accorsi, Guido Caprino, Miriam Leone, Domenico Diele"
994,Loudermilk,(2017– ),7.6,1701,none,30,Comedy,"Ron Livingston, Will Sasso, Anja Savcic, Jackie Flynn"
995,Sen Anlat Karadeniz,(2018–2019),5.8,1698,none,150,Drama,"Ulas Tuna Astepe, Irem Helvacioglu, Sinan Tuzcu, Öykü Gürman"
996,The Masked Singer,(2019– ),6.4,1698,none,60,"Game-Show, Music, Reality-TV","Nick Cannon, Ken Jeong, Jenny McCarthy, Nicole Scherzinger"
997,Medically Yourrs,(2019– ),8.8,1693,none,none,Drama,"Shantanu Maheshwari, Radhey Lotwala, Priyanka Arya, Shruti Bapna"
998,When Heroes Fly,(2018– ),7.3,1692,none,45,"Action, Drama","Tomer Capon, Ninet Tayeb, Michael Aloni, Nadav Netz"
999,Vida,(2018– ),7.1,1692,none,35,Drama,"Melissa Barrera, Mishel Prada, Ser Anzoategui, Chelsea Rendon"
