,name,year,imdb,number_votes,age_rating,runtime,genres,actors
713,The Loud House,(2016– ),7.3,2925,Livre,22,"Animation, Short, Action","Grey Griffin, Jessica DiCicco, Catherine Taber, Lara Jill Miller"
714,Minecraft Epic,(2019– ),9.9,2925,none,none,"Action, Adventure, Comedy","Felix Kjellberg, Joergen, Dinnerbone, Bernie"
715,Jett,(2019– ),7.3,2923,none,none,"Action, Crime, Drama","Carla Gugino, Elena Anaya, Michael Aronov, Gaite Jansen"
716,Marlon,(2017–2018),7.0,2919,none,22,Comedy,"Marlon Wayans, Essence Atkins, Bresha Webb, Diallo Riddle"
717,Os 3 Lá Embaixo: Contos de Arcadia,(2018–2019),7.8,2887,none,24,"Animation, Short, Action","Tatiana Maslany, Diego Luna, Nick Offerman, Frank Welker"
718,Wisdom of the Crowd,(2017–2018),6.5,2880,none,43,"Crime, Drama, Thriller","Jeremy Piven, Richard T. Jones, Natalia Tena, Blake Lee"
719,Vixen,(2015–2016),7.1,2880,none,5,"Animation, Action, Adventure","Megalyn Echikunwoke, Anika Noni Rose, Emily Bett Rickards, Sean Patrick Thomas"
720,Save Me,(2018– ),7.7,2877,none,270,"Drama, Mystery","Lennie James, Stephen Graham, Suranne Jones, Susan Lynch"
721,The Arrangement,(I) (2017–2018),6.5,2876,none,60,Drama,"Josh Henderson, Christine Evangelista, Lexa Doig, Carra Patterson"
722,B: The Beginning,(2018– ),7.2,2873,16,25,"Animation, Action, Crime","Hiroaki Hirata, Hiroki Touchi, Asami Seto, Johnny Yong Bosch"
723,"Kilmi, hilmi",(2015),8.3,2873,none,60,"Comedy, Drama, Romance","Seong Ji, Jeong-eum Hwang, Hee-jung Kim, Il-Woo Kim"
724,The Astronaut Wives Club,(2015),7.2,2848,none,42,Drama,"JoAnna Garcia Swisher, Yvonne Strahovski, Dominique McElligott, Odette Annable"
725,The InBetween,(2019– ),7.0,2847,none,43,"Drama, Sci-Fi","Harriet Dyer, Justin Cornwell, Cindy Luna, Anne-Marie Johnson"
726,I'm Dying Up Here,(2017–2018),7.4,2844,none,60,"Comedy, Drama","Melissa Leo, Ari Graynor, Michael Angarano, Clark Duke"
727,Feliz Natal e Tal,(2019– ),6.2,2835,12,26,Comedy,"Dennis Quaid, Bridgit Mendler, Brent Morin, Ashley Tisdale"
728,Catherine the Great,(2019– ),6.1,2831,16,60,"Biography, Drama, History","Helen Mirren, Jason Clarke, Gina McKee, Kevin McNally"
729,Springfloden,(2016– ),7.5,2829,none,44,"Crime, Drama, Mystery","Julia Ragnarsson, Kjell Bergqvist, Cecilia Nilsson, Dar Salim"
730,Caminhos Cruzados,(2016–2018),6.4,2824,none,60,"Drama, Mystery, Sci-Fi","David Ajala, Lizzie Brocheré, Will Yun Lee, Kai Lennox"
731,As Meninas Super-Poderosas,(2016– ),3.6,2806,Livre,60,"Animation, Action, Comedy","Amanda Leighton, Natalie Palamides, Kristen Li, Tom Kane"
732,Stranger,(2017– ),8.6,2803,none,60,"Crime, Drama, Mystery","Seung-woo Cho, Doona Bae, Jae-woong Choi, Joon-Hyuk Lee"
733,Spotless,(2015– ),7.9,2794,none,60,"Crime, Drama","Marc-André Grondin, Miranda Raison, Denis Ménochet, Doug Allen"
734,Dickinson,(2019– ),7.0,2793,16,30,"Biography, Comedy, Drama","Hailee Steinfeld, Adrian Enscoe, Anna Baryshnikov, Jane Krakowski"
735,The Nightly Show with Larry Wilmore,(2015–2016),5.4,2792,none,22,"Comedy, News, Talk-Show","Larry Wilmore, Mike Yard, Rory Albanese, Holly Walker"
736,Neo Yokio,(2017–2018),5.8,2791,none,23,"Animation, Action, Adventure","Jude Law, Jaden Smith, Susan Sarandon, The Kid Mero"
737,Flint Town,(2018– ),8.0,2785,none,45,"Documentary, Crime","Tim Johnson, Bridgette Balasko, Robert Frost, Dion Reed"
738,Goblin Slayer,(2018– ),7.5,2784,none,30,"Animation, Action, Adventure","Yuichiro Umehara, Yui Ogura, Nao Tôyama, Yûichi Nakamura"
739,Heartbeat,(2016),6.7,2783,none,60,"Comedy, Drama, Romance","Melissa George, Dave Annable, Don Hany, Shelley Conn"
740,Wicked City,(2015),6.5,2782,none,42,"Crime, Drama","Jeremy Sisto, Taissa Farmiga, Gabriel Luna, Jaime Ray Newman"
741,Home Fires,(2015–2016),8.2,2768,none,45,"Drama, War","Clare Calbraith, Brian Fletcher, Samantha Bond, Ruth Gemmell"
742,Manhunt,(2019– ),7.4,2766,none,45,"Crime, Drama, Mystery","Martin Clunes, Katie Lyons, Claudie Blakley, Stephen Wight"
743,Private Eyes,(2016– ),7.3,2759,none,43,"Comedy, Crime, Drama","Jason Priestley, Cindy Sampson, Barry Flatman, Jordyn Negri"
744,Our Cartoon President,(2018– ),5.1,2756,none,30,"Animation, Short, Adventure","Jeff Bergman, James Adomian, Gabriel Gundacker, Emily Lynne"
745,You Are Wanted,(2017–2018),6.0,2755,none,49,"Drama, Thriller","Matthias Schweighöfer, Alexandra Maria Lara, Catrin Striebeck, Franz Hagn"
746,Laakhon Mein Ek,(2017– ),8.3,2751,none,30,Drama,"Biswa Kalyan Rath, Akshaya Bhingare, Abhay Kulkarni, Rupesh Tillu"
747,One Big Happy,(2015),5.7,2750,none,21,Comedy,"Elisha Cuthbert, Nick Zano, Kelly Brook, Rebecca Corry"
748,Mrs. Fletcher,(2019– ),6.9,2746,none,31,Comedy,"Kathryn Hahn, Jackson White, Owen Teague, Jen Richards"
749,Black Monday,(2019– ),7.4,2741,none,60,Comedy,"Don Cheadle, Andrew Rannells, Paul Scheer, Regina Hall"
750,Carmen Sandiego,(2019– ),8.0,2729,none,22,"Animation, Action, Adventure","Gina Rodriguez, Finn Wolfhard, Liam O'Brien, Mary Elizabeth McGlynn"
751,Blood & Treasure,(2019– ),6.6,2722,none,60,"Action, Adventure","Matt Barr, Sofia Pernas, James Callis, Katia Winter"
752,Sweetbitter,(2018– ),7.0,2721,16,60,Drama,"Ella Purnell, Tom Sturridge, Evan Jonigkeit, Eden Epstein"
753,Superior Donuts,(2017–2018),6.4,2719,none,21,Comedy,"Jermaine Fowler, David Koechner, Maz Jobrani, Katey Sagal"
754,Typewriter,(2019– ),6.5,2714,16,48,"Horror, Thriller","Mikhail Gandhi, Sara Gesawat, Palomi Ghosh, Palash Kamble"
755,X Company,(2015–2017),7.7,2702,none,44,"Drama, War","Evelyne Brochu, Jack Laskey, Warren Brown, Torben Liebrecht"
756,Keeping Faith,(2017– ),7.1,2691,none,60,"Drama, Mystery, Thriller","Eve Myles, Bradley Freegard, Mark Lewis Jones, Aneirin Hughes"
757,Valor,(2017–2018),5.9,2676,none,42,Drama,"Christina Ochoa, Matt Barr, Charlie Barnett, Nigel Thatch"
758,Owari no serafu,(2015– ),7.5,2676,none,24,"Animation, Action, Adventure","Miyu Irino, Micah Solusod, Saori Hayami, Nobuhiko Okamoto"
759,Hindsight,(2015),7.6,2676,none,30,"Comedy, Drama","Laura Ramsey, Sarah Goldberg, Craig Horner, Nick Clifford"
760,Taskmaster,(2015– ),9.0,2675,none,60,Comedy,"Greg Davies, Alex Horne, Kerry Godliman, James Acaster"
761,Happyish,(2015),7.3,2671,none,30,"Comedy, Drama","Kathryn Hahn, Steve Coogan, Sawyer Shipman, Bradley Whitford"
762,Amor Ocasional,(2018– ),7.4,2660,none,27,Comedy,"Ryan Colt Levy, Tom Dingler, Joséphine Draï, Zita Hanrot"
763,Four Weddings and a Funeral,(2019– ),7.0,2650,none,60,"Comedy, Romance","Nathalie Emmanuel, Nikesh Patel, Rebecca Rittenhouse, John Reynolds"
764,Campeões,(2018),6.0,2643,none,30,Comedy,"Anders Holm, Fortune Feimster, Andy Favreau, Josie Totah"
765,Kimbiseoga wae geureolkka,(2018– ),8.1,2636,none,60,"Comedy, Mystery, Romance","Min-Young Park, Seo-joon Park, Tae-Hwan Lee, Byeong-ok Kim"
766,Norm Macdonald Has a Show,(2018– ),8.7,2633,none,30,"Comedy, Talk-Show","Norm MacDonald, Adam Eget, Michael Keaton, Drew Barrymore"
767,Good Trouble,(2019– ),7.4,2625,none,45,"Comedy, Drama, Romance","Maia Mitchell, Cierra Ramirez, Zuri Adele, Sherry Cola"
768,Bordertown,(2016),5.3,2625,none,21,"Animation, Comedy","Hank Azaria, Nicholas Gonzalez, Judah Friedlander, Missi Pyle"
