,name,year,imdb,number_votes,age_rating,genres,directors
297,Yooka-Laylee,2017,6.3,158,Livre,"Animation, Action, Adventure",Chris Sutherland
298,Erica,2019,7.9,156,none,"Drama, Thriller",Jack Attridge
299,Fran Bow,2015,8.7,154,none,"Adventure, Horror, Mystery",Natalia Figueroa
300,Nyû Sûpâ Mario Burazâzu Yû Derakkusu,2019,8.0,152,none,"Action, Adventure, Fantasy",Shiro Mouri
301,A Hat in Time,2017,8.2,151,none,"Animation, Action, Adventure",Jonas Kærlev
302,Agents of Mayhem,2017,6.3,150,none,"Action, Adventure, Crime",Cherise Boothe
303,Madden NFL 16,2015,7.2,150,none,Sport,Mandell Frazier
304,Pokemon urutora mûn,2017,7.6,148,none,"Action, Adventure, Family",Kazumasa Iwao
305,Attack on Titan 2,2018,8.2,147,none,Action,Hideo Suzuki
306,Star Fox Zero,2016,6.5,146,none,"Action, Adventure, Family",Yusuke Hashimoto
307,King's Quest,2015,8.0,146,none,"Adventure, Fantasy",Matt Korba
308,Overcooked,2016,7.8,145,none,"Action, Family",none
309,Paladins,2016,7.1,145,none,Action,Todd Harris
310,The Bunker,2016,7.1,145,none,Horror,Allan Plenderleith
311,Steep,2016,6.4,144,none,"Action, Sport",Igor Manceau
312,Der Eisendrache,2016,8.9,144,none,"Action, Drama, Horror",Corky Lehmkuhl
313,"Pokémon: Let's Go, Eevee!",2018,7.3,143,none,"Action, Adventure, Family",Junichi Masuda
314,Sonic Boom: Fire & Ice,2016,6.7,143,none,"Adventure, Family",Tin Guerrero
315,Yoshi's Woolly World,2015,7.7,142,none,"Action, Adventure",Atsushi Kono
316,Metroid: Samus Returns,2017,8.1,142,none,"Action, Adventure, Family",Takehiko Hosokawa
317,Pokémon Ultra Sol,2017,7.6,142,none,"Action, Adventure",Kazumasa Iwao
318,World War Z,2019,6.7,139,none,"Action, Horror",Yoshi Ando
319,Total War: Warhammer II,2017,8.7,138,none,"Action, Adventure, Fantasy",Ian Roxburgh
320,Faiâ enburemu hîrôzu,2017,6.9,138,none,"Action, Adventure, Family",Kouhei Maeda
321,Poketto monsutâ sôdo,2019,6.8,137,none,"Action, Adventure, Fantasy",Shigeru Ohmori
322,Harry Potter: Hogwarts Mystery,2018,5.4,137,none,"Action, Adventure, Family",Chris DeWolfe
323,Arms,2017,7.0,137,none,"Action, Sport",Masaaki Ishikawa
324,The Crew 2,2018,6.5,136,none,"Action, Adventure, Crime",Stéphane Beley
325,Crackdown 3,2019,5.8,133,16,Action,Gareth Wilson
326,Dead Cells,2018,7.6,132,none,"Action, Adventure, Fantasy",Sebastien Bénard
327,Plants vs. Zombies Garden Warfare 2,2016,7.0,132,10,"Action, Adventure, Comedy",Jeremy Vanhoozer
328,Enter the Gungeon,2016,7.3,132,none,"Action, Adventure, Fantasy",Dave Crooks
329,Jump Force,2019,4.9,129,12,"Action, Fantasy, Sci-Fi",Toyokazu Sakamoto
330,Street Fighter V: Arcade Edition,2018,7.5,129,none,Action,none
331,Black Mirror,2017,6.1,129,14,"Adventure, Crime, Horror",Mark Estdale
332,EA Sports UFC 2,2016,6.9,129,14,"Action, Sport",Brian Hayes
333,Assassins Creed Chronicles: China,2015,6.4,128,none,Action,none
334,Freddy Fazbear's Pizzeria Simulator,2017,6.7,128,none,"Horror, Mystery, Thriller",Scott Cawthon
335,Shadow Warrior 2,2016,7.4,128,none,"Action, Adventure, Comedy",Michal Szustak
336,The Surge,2017,6.2,128,none,"Action, Adventure, Sci-Fi",Jan Klose
337,Darkest Dungeon,2016,8.1,128,none,"Action, Adventure, Fantasy",Chris Bourassa
338,Kathy Rain,2016,9.2,127,none,Adventure,Kyle Arzaga
339,Cars 3: Driven to Win,2017,6.9,126,none,"Animation, Action, Family",Sean Peter Mullen
340,Madden NFL 19: Longshot Homecoming,2018,4.6,125,none,Drama,Michael Young
341,Hunt Down the Freeman,2018,1.4,125,none,"Action, Sci-Fi",Berkan Denizyaran
342,Baldi's Basics in Education and Learning,2018,7.0,124,none,"Comedy, Family, Horror",Micah McGonigal
343,Super Mario Run,2016,6.5,123,none,"Action, Adventure, Family",Takashi Tezuka
344,ReCore,2016,6.3,122,10,"Action, Adventure, Sci-Fi",Mark Pacini
345,Guitar Hero Live,2015,6.7,122,none,"Family, Music",Giorgio Testi
346,Call of Duty: Advanced Warfare - Exo Zombies,2015,6.4,122,none,Action,Glen A. Schofield
347,Remothered: Tormented Fathers,2018,7.3,122,none,"Adventure, Horror, Mystery",Chris Darril
348,Rare Replay,2015,8.3,119,14,"Action, Adventure, Comedy",George Andreas
349,Octopath Traveler,2018,8.1,118,none,"Adventure, Fantasy",Keisuke Miyauchi
350,The Sinking City,2019,7.5,118,none,"Horror, Mystery",Aurélie Ludot
351,Sniper: Ghost Warrior 3,2017,6.2,117,none,"Action, War",Ryan Laccohee
352,Don't Starve Together,2016,7.4,116,none,none,none
353,Poketto monsutâ shîrudo,2019,6.4,115,none,"Action, Adventure, Fantasy",Shigeru Ohmori
354,Faiâ enburemu Echoes: Mouhitori no eiyuuou,2017,7.9,115,none,"Action, Adventure, Crime",Toshiyuki Kusakihara
355,NBA 2K20,2019,3.8,113,none,Sport,Sheldon Candis
356,Starlink: Battle for Atlas,2018,8.5,112,none,Sci-Fi,Richard Carrillo
357,South Park: Phone Destroyer,2017,6.3,111,none,"Action, Adventure, Comedy",Trey Parker
358,Hatred,2015,5.0,111,none,"Action, Horror",Jaroslaw Zielinski
359,Final Fantasy Type-0 HD,2015,6.6,111,none,Adventure,Hajime Tabata
360,GreedFall,2019,7.6,111,none,"Action, Adventure, Fantasy",Jamie Blackley
361,Wojna krwi: Wiedzminskie opowiesc,2018,8.5,110,none,"Action, Adventure, Drama",Jaroslaw Boberek
362,Dirt Rally,2015,7.0,110,none,Sport,Neil Cole
363,Madden NFL 18,2017,7.2,109,none,Sport,Nate Boyer
364,Need for Speed: Heat,2019,7.9,109,none,"Action, Adventure, Crime",Riley Cooper
365,Resident Evil Zero HD Remaster,2016,7.6,108,none,"Action, Horror",Koji Oda
366,The Turing Test,2016,7.6,107,none,Sci-Fi,Marie Westbrook
367,Tales of Berseria,2016,8.0,107,none,"Action, Adventure, Fantasy",Yoshimasa Tanaka
368,Tacoma,2017,7.3,107,none,"Adventure, Sci-Fi",Steve Gaynor
369,Technobabylon,2015,9.2,107,none,none,James Dearden
370,Ultimate Custom Night,2018,7.5,106,none,Horror,Scott Cawthon
371,Valerian: City of Alpha,2017,6.1,106,none,Sci-Fi,none
372,Ultra Street Fighter II: The Final Challengers,2017,7.3,106,none,Action,Toshiyuki Yamamoto
373,Madden NFL 17,2016,6.7,106,none,Sport,Charles Davis
374,Finding Paradise,2017,8.8,105,none,"Adventure, Drama, Sci-Fi",Kan Gao
375,Allegiant: VR Experience,2016,6.6,105,none,Adventure,Shailene Woodley
376,Hearts of Iron IV,2016,8.4,105,none,War,Johan Andersson
377,WWE 2K20,2019,2.8,104,none,Sport,Rebecca Quin
378,Marvel Ultimate Alliance 3: The Black Order,2019,8.0,103,none,"Action, Adventure, Family",Hiroya Usuda
379,Ghostbusters VR: Now Hiring,2017,3.3,102,none,Adventure,Patton Oswalt
380,Doragon kuesuto hîrôzu: Yamiryuu to sekaiju no shiro,2015,8.0,102,none,"Adventure, Fantasy",Yuji Horii
381,Assassin's Creed: Origins - The Hidden Ones,2018,7.8,101,none,"Action, Adventure, Drama",Ashraf Ismail
382,Bloodstained: Ritual of the Night,2019,8.2,100,none,"Action, Adventure, Horror",Shutaro Iida
383,Mario Party: Star Rush,2016,8.7,99,none,"Action, Sport",Shuichiro Nishiya
384,Ace Combat 7: Skies Unknown,2019,8.2,98,none,"Action, Adventure, Drama",Masashi Koyanagi
385,Pokkén Tournament,2015,7.3,98,none,Action,Haruki Suzaki
386,Knack II,2017,8.1,97,none,"Action, Adventure, Family",Mark Cerny
387,Pokkén Tournament DX,2017,7.5,97,none,Action,Haruki Suzaki
388,Gorod Krovi,2016,8.6,97,none,"Action, Drama, Horror",Corky Lehmkuhl
389,Hello Neighbor,2017,6.4,96,none,"Family, Fantasy, Horror",none
390,Conan Exiles,2017,6.2,96,none,"Action, Adventure, Fantasy",Joel Bylos
391,The Walking Dead: No Man's Land,2015,8.0,96,none,Horror,Norman Reedus
392,Contradiction: The Interactive Murder Mystery Movie,2015,8.7,96,none,"Adventure, Crime, Mystery",Tim Follin
393,Return of the Obra Dinn,2018,8.5,95,none,"Fantasy, Mystery",Lucas Pope
394,Shenmue I & II,2018,8.8,95,16,"Action, Adventure, Crime",none
395,World of Final Fantasy,2016,7.9,95,Livre,"Adventure, Family, Fantasy",Hiroki Chiba
396,Assassins Creed Chronicles: India,2015,6.3,94,none,Action,none
397,Zetsubou No Shima,2016,6.7,94,none,"Action, Drama, Horror",Kevin Drew
398,Resident Evil: Umbrella Corps,2016,2.6,94,none,Action,Valerie Arem
399,Battleborn,2016,6.7,94,12,"Action, Adventure, Family",Randall Varnell
400,Creed: Rise to Glory,2018,6.8,93,none,"Action, Family, Sport",James Iliff
401,Assassin's Creed: Origins - The Curse of the Pharaohs,2018,8.1,93,none,"Action, Adventure, Fantasy",Ashraf Ismail
402,Call of Duty: Mobile,2019,7.8,93,none,Action,Antonio Alvarez
403,Untitled Goose Game,2019,7.8,91,Livre,"Adventure, Comedy",none
404,Elex,2017,7.3,91,none,Action,Björn Pankratz
405,Gwint: Wiedzminska gra karciana,2017,7.9,91,none,Fantasy,Benjamin Lee
406,Kholat,2015,6.9,91,none,Horror,Ryan Cooper
407,Agent Cody Banks: Escape from Los Santos,2019,9.2,91,none,Action,Kyle
408,Hyper Light Drifter,2016,8.1,90,none,"Action, Adventure, Fantasy",Alex Preston
409,Steins;Gate 0,2015,8.8,90,14,"Comedy, Drama, Mystery",Mamoru Miyano
410,Postal 2: Paradise Lost,2015,7.7,90,none,Action,Rick Hunter
411,Grow Home,2015,6.6,89,none,"Adventure, Sci-Fi",Ubisoft Reflections
412,Final Fantasy XII: The Zodiac Age,2017,8.7,88,none,"Action, Adventure, Crime",Hiroyuki Itô
413,TrackMania Turbo,2016,6.6,87,none,Sport,none
414,Terminator: Resistance,2019,7.8,87,none,"Action, Mystery, Sci-Fi",Piotr Latocha
415,My Friend Pedro,2019,7.5,87,16,"Action, Adventure, Comedy",none
416,Dead or Alive 6,2019,7.2,86,none,Action,Yohei Shimbori
417,Call of Duty: Revelations,2016,7.5,86,none,"Action, Drama, Horror",Corky Lehmkuhl
418,Shardlight,2016,8.8,86,none,"Adventure, Sci-Fi",Francisco Gonzalez
419,Dying Light: The Following - Enhanced Edition,2016,8.3,85,none,"Adventure, Horror",none
420,Grim Dawn,2016,8.7,85,none,Horror,Kent Clark
421,Axiom Verge,2015,7.9,85,none,"Action, Adventure, Sci-Fi",Thomas Happ
422,Batman: Arkham Underworld,2016,6.9,84,none,"Action, Adventure, Crime",Dino Andrade
423,Aliens vs. Pinball,2016,8.8,84,none,"Action, Sci-Fi",Bill Paxton
424,Ghostbusters,2016,3.3,84,none,"Action, Adventure, Comedy",Chris Tremmel
425,Yoshi's Crafted World,2019,8.0,83,none,"Action, Adventure, Fantasy",Masahiro Yamamoto
426,Zero Escape: Koku no jirenma,2016,8.2,83,16,"Horror, Mystery, Sci-Fi",Kotaro Uchikoshi
427,Hoshi no Kâbi: Robobo puranetto,2016,8.3,83,none,"Action, Adventure, Sci-Fi",Tatsuya Kamiyama
428,James Bond: World of Espionage,2015,7.3,83,none,Action,Daniel Craig
429,Tearaway Unfolded,2015,7.7,83,none,Adventure,Alicia Suszka-Fielder
430,Mighty No. 9,2016,4.3,82,10,"Action, Adventure, Sci-Fi",Koji Imaeda
431,Torment: Tides of Numenera,2017,6.2,82,none,"Adventure, Fantasy",Kevin Saunders
432,Pyre,2017,8.0,81,none,Fantasy,Peter Canavese
433,Dirt 4,2017,7.4,81,none,"Action, Adventure, Family",Neil Cole
434,Assassins Creed Chronicles: Russia,2015,6.1,80,none,Action,none
435,Hoshi no Kâbî: Sutâ araizu,2018,7.5,80,none,"Action, Adventure, Family",Shinya Kumazaki
436,Until Dawn: Rush of Blood,2016,7.1,80,none,"Action, Horror",Larry Fessenden
437,2064: Read Only Memories,2016,4.5,79,none,Adventure,John James
438,Skylanders: SuperChargers,2015,6.6,79,10,Action,Josh Bridge
439,Agony,2018,4.4,78,18,Horror,Tomasz Dutkiewicz
440,Borderlands: The Pre-Sequel - Claptastic Voyage,2015,8.2,78,none,Action,Dameon Clarke
441,Doragon kuesuto birudâzu: Arefugasuto o fukkatsuseyo,2016,8.0,77,none,"Action, Adventure, Family",Ayaka Asai
442,The Park,2015,6.7,77,none,"Adventure, Horror, Mystery",Joel Bylos
443,Rockman 11: Unmei no Haguruma!!,2018,7.9,75,none,"Action, Adventure, Family",Koji Oda
444,Furi,2016,7.6,75,none,"Action, Sci-Fi",Emeric Thoa
445,Judge Eyes: Shinigami no Yuigon,2018,8.5,74,18,"Action, Adventure, Crime",Toshihiro Nagoshi
446,Astro Bot: Rescue Mission,2018,8.9,74,none,Sci-Fi,none
447,Team Sonic Racing,2019,8.0,74,none,"Family, Sport",Tom Turner
448,Layers of Fear 2,2019,6.3,74,none,"Horror, Thriller",Mark Estdale
449,Unavowed,2018,8.5,73,none,"Adventure, Fantasy, Horror",Dave Gilbert
450,Owlboy,2016,8.1,73,none,"Adventure, Comedy, Drama",Simon Stafsnes
451,Guild Wars 2: Heart of Thorns,2015,8.4,73,none,Action,Antonio Alvarez
452,Observation,2019,7.8,72,none,"Sci-Fi, Thriller",Jon Mckellan
453,Madden NFL 19,2018,5.6,72,none,Sport,Conrad Bluth
454,Teenage Mutant Ninja Turtles: Mutants in Manhattan,2016,6.1,72,10,"Action, Adventure, Comedy",Eiro Shirahama
455,Last Day of June,2017,7.3,71,none,"Adventure, Drama, Romance",Ovosonico
456,The Banner Saga 2,2016,7.9,70,none,"Adventure, Fantasy, Mystery",none
457,The Elder Scrolls Online: Morrowind,2017,7.4,69,none,"Action, Adventure, Fantasy",Matt Firor
458,Fairy Fencer F: Advent Dark Force,2016,9.4,69,none,"Action, Adventure, Fantasy",Takatsugu Awazu
459,Warhammer: End Times - Vermintide,2015,7.5,69,none,Fantasy,Anders De Geer
460,Project Cars 2,2017,7.2,69,none,Sport,Ian Bell
461,Infinite Crisis,2015,7.6,69,none,"Action, Sci-Fi",Cardell Kerr
462,Shantae: Half-Genie Hero,2016,7.5,68,none,"Animation, Action, Adventure",Matt Bozon
463,Teiruzu obu zesutiria,2015,7.2,68,none,"Adventure, Family, Fantasy",Yuuta Hase
464,Shingeki no kyojin,2016,7.7,68,14,"Action, Adventure, Drama",Tomoyuki Kitamura
465,Onrush,2018,6.5,67,none,Action,Paul Rustchynsky
466,Virginia,2016,6.8,67,none,"Drama, Mystery, Thriller",Jonathan Burroughs
467,Frostpunk,2018,7.9,66,14,"Adventure, Drama, Sci-Fi",Michal Drozdowski
468,The Council,2018,7.3,66,none,Mystery,Sylvain Sechi
469,Warhammer: Vermintide 2,2018,7.8,66,none,Action,Anders De Geer
470,Mario Kart Tour,2019,6.2,66,none,"Action, Family, Sport",Toru Asakawa
471,Mario & Luigi: Paper Jam,2015,7.3,66,none,Action,Shunsuke Kobayashi
472,Final Fantasy XIV: Heavensward,2015,8.7,66,none,"Action, Adventure, Fantasy",Naoki Yoshida
473,Helldivers,2015,7.2,66,none,"Action, Sci-Fi",Axel Lindberg
474,Gravity Rush 2,2017,8.4,65,12,"Adventure, Family, Fantasy",none
475,Get Even,2017,6.6,65,none,Thriller,Damien Goodwin
476,Stellaris,2016,8.5,65,none,Sci-Fi,Henrik Fåhraeus
477,Paper Mario: Color Splash,2016,6.9,65,none,"Action, Adventure, Family",Naohiko Aoyama
478,Astral Chain,2019,8.1,65,none,"Action, Adventure, Sci-Fi",Takahisa Taura
479,Trover Saves the Universe,2019,8.7,65,none,"Animation, Action, Comedy",Steve Agee
480,The Forest,2018,8.0,64,none,"Action, Adventure, Horror",Ben Falcone
481,Bubsy: The Woolies Strike Back,2017,5.2,64,none,"Action, Adventure, Family",Jean-Marc Haessig
482,Guild Wars 2: Path of Fire,2017,8.7,64,none,Fantasy,Mike O'Brien
483,1-2 Switch,2017,5.0,64,none,"Action, Family",none
484,Lara Croft Go,2015,7.1,64,10,Adventure,Daniel Lutz
485,Shenmue III,2019,8.1,64,none,"Action, Adventure, Drama",Yu Suzuki
486,Stories Untold,2017,8.2,63,none,"Adventure, Horror, Sci-Fi",Jon Mckellan
487,Tyranny,2016,7.8,63,none,Action,Valerie Arem
488,Faiâ emuburemu musou,2017,7.1,63,none,"Action, Adventure, Crime",Hiroya Usuda
489,Zeruda no densetsu: Toraifôsu sanjuushi,2015,7.0,63,none,"Action, Adventure, Family",Hiromasa Shikata
490,Apotheon,2015,6.2,63,none,Action,Sonja Ball
491,Blood & Truth,2019,8.8,63,none,Action,Stuart Whyte
492,Tetorisu 99,2019,8.0,62,none,"Action, Family",Akito Kitamura
493,Gorogoa,2017,8.3,62,none,Adventure,Jason Roberts
494,Kerbal Space Program,2015,8.5,62,none,"Adventure, Comedy, Sci-Fi",Felipe Falanghe
495,Mario & Sonic at the Rio 2016 Olympic Games,2016,6.8,62,none,Sport,Eigo Kasahara
496,MediEvil,2019,8.2,62,none,"Action, Adventure, Fantasy",Lani Minella
497,Katana Zero,2019,8.3,62,none,Action,Justin Stander
498,Pillars of Eternity II: Deadfire,2018,8.0,61,none,"Adventure, Fantasy",Josh Sawyer
499,Shadow Tactics: Blades of the Shogun,2016,8.0,61,none,War,Dominik Abé
500,Super Bomberman R,2017,6.6,60,none,"Action, Family",Peter von Gomm
501,Pony Island,2016,7.3,60,none,"Adventure, Drama, Fantasy",Simon Jenkins
502,Mutant Year Zero: Road to Eden,2018,7.4,59,none,Action,Ulf Andersson
503,Zombie Army Trilogy,2015,7.2,59,none,Action,none
504,Trine 3: The Artifacts of Power,2015,6.7,59,none,"Action, Adventure, Fantasy",Mark Estdale
505,Victor Vran,2015,7.6,59,none,Adventure,Gabriel Dobrev
506,Disco Elysium,2019,9.0,59,none,"Crime, Mystery",none
507,Mighty Morphin Power Rangers: Mega Battle,2017,4.8,58,none,Action,none
508,Fortnite: Chapter 2,2019,5.5,58,none,Action,Tim Sweeney
509,Lamplight City,2018,8.2,57,none,"Crime, Mystery",Francisco Gonzalez
510,Slime Rancher,2017,7.5,57,none,Animation,none
511,Zombies Chronicles,2017,8.9,57,none,Action,Jason Blundell
512,Dream Daddy: A Dad Dating Simulator,2017,7.8,57,none,Romance,Tyler J. Hutchison
513,VRChat,2017,8.4,56,none,none,none
514,Ruiner,2017,7.4,56,none,"Action, Sci-Fi",Jakub Stylinski
515,Stories: The Path of Destinies,2016,6.9,56,none,Adventure,Malik Boukhira
516,The Technomancer,2016,6.2,56,none,Adventure,Jeanne Rousseau
517,Tony Hawk's Pro Skater 5,2015,2.6,56,Livre,Sport,Lizzie Armanto
518,EA Sports UFC 3,2018,7.6,55,none,Sport,Marcus Aurelio
519,Brawl Stars,2018,7.6,55,none,Action,Sandra Espinoza
520,Beat Saber,2018,8.6,55,none,Music,none
521,Code Vein,2019,7.5,55,none,"Action, Adventure, Fantasy",Hiroshi Yoshimura
522,MLB 16: The Show,2016,8.4,55,none,Sport,Brandon Thomas
523,Futurama: Worlds of Tomorrow,2017,6.2,54,none,"Comedy, Sci-Fi",Dan Castellaneta
524,Gyakuten saiban 6,2016,7.7,54,none,"Action, Adventure, Crime",Takeshi Yamazaki
525,The King of Fighters XIV,2016,8.0,54,none,"Action, Fantasy, Sci-Fi",Yasuyuki Oda
526,Catherine: Full Body,2019,8.3,53,none,"Animation, Comedy, Drama",Katsura Hashino
527,Black Ops 4: Dead of the Night,2018,6.8,53,none,Action,Jason Blundell
528,The Quiet Man,2018,2.4,53,none,"Action, Adventure, Crime",Shu Hamada
529,Planet Coaster,2016,8.2,53,none,Adventure,James Dixon
530,Monument Valley 2,2017,8.2,53,none,"Adventure, Fantasy",Neil McFarland
531,"Warhammer 40,000: Dawn of War III",2017,6.5,53,none,"Action, Sci-Fi, War",Alec Newman
532,Let It Die,2016,7.1,53,none,"Action, Adventure, Sci-Fi",James D. Mortellaro
533,Five Nights at Freddy's: Help Wanted,2019,8.3,53,none,"Action, Horror",Scott Cawthon
534,Guacamelee! 2,2018,7.9,52,none,"Action, Adventure, Comedy",none
535,Star Wars: Galaxy of Heroes,2015,8.1,52,none,"Action, Adventure, Fantasy",Mat Lucas
536,Shadowrun: Hong Kong,2015,7.7,52,none,"Action, Adventure, Crime",Mitch Gitelman
537,NHL 19,2018,6.7,51,none,Sport,Sean Ramjagsingh
538,Forgotton Anne,2018,8.0,51,none,Adventure,Alfred Nguyen
539,Into the Breach,2018,7.6,51,none,"Action, Adventure, Sci-Fi",Matthew Davis
540,Final Fantasy XIV: Stormblood,2017,8.4,51,none,"Action, Adventure, Fantasy",Laura Aikman
541,Valkyria Chronicles 4,2018,8.4,50,none,"Action, Adventure, Family",Masaya Kobayashi
542,Final Fantasy XV: Episode Ignis,2017,8.2,50,none,"Action, Adventure, Fantasy",Takefumi Terada
543,Steven Universe: Save the Light,2017,8.0,50,none,"Animation, Adventure, Comedy",Zach Callison
544,Mario Sports Superstars,2017,8.4,50,none,Sport,Kenji Fujioka
545,Hatsune Miku: Project Diva X,2016,9.0,50,none,"Action, Music",Tetsuya Ohtsubo
546,The Book of Unwritten Tales 2,2015,7.1,50,12,Adventure,Marc König
547,Angry Birds 2,2015,7.2,49,none,Adventure,none
548,Final Fantasy XV: Episode Gladiolus,2017,7.4,49,none,"Action, Adventure, Fantasy",Kenichi Shida
549,Hokuto ga gotoku,2018,7.7,48,none,"Action, Adventure, Drama",Jun Orihara
550,Planet of the Apes: Last Frontier,2017,7.0,48,16,"Action, Adventure",Steve Kniebihly
551,Final Fantasy XV: Episode Prompto,2017,7.7,47,none,Fantasy,Kenichi Shida
552,The Inpatient,2018,6.2,47,none,Horror,Matthew Gallenstein
553,Busou shoujo,2015,6.8,47,none,"Animation, Action",none
554,Deponia Doomsday,2016,8.1,47,none,Adventure,Jan Müller-Michaelis
555,Pillars of Eternity: The White March,2015,7.9,47,none,none,Josh Sawyer
556,"That Dragon, Cancer",2016,7.7,47,none,none,none
557,Bloodstained: Curse of the Moon,2018,7.2,46,14,"Action, Adventure, Horror",Hiroki Miyazawa
558,Party Hard,2015,7.5,46,none,"Action, Horror, Thriller",none
559,Dirty Bomb,2015,7.5,46,none,Action,Jimmy Akingbola
560,MLB 15: The Show,2015,7.7,46,none,Sport,Sean Kennedy
561,Football Manager 2019,2018,7.8,45,none,Sport,none
562,Getting Over It with Bennett Foddy,2017,6.5,45,none,Adventure,Bennett Foddy
563,Emily is Away,2015,6.8,45,none,Drama,Kyle Seeley
564,Here They Lie,2016,6.8,45,none,Horror,Cory Davis
565,Skylanders: Imaginators,2016,6.9,45,none,Animation,Brad Abrell
566,Paragon,2016,6.8,45,none,"Action, Adventure, Sci-Fi",John Wasilczyk
567,Telling Lies,2019,7.2,45,none,Thriller,Sam Barlow
568,Madden NFL 20,2019,5.3,45,none,Sport,Randall Bacon
569,This Is the Police,2016,7.2,44,none,"Animation, Adventure, Crime",Ilya Yanovich
570,Discovery Tour by Assassin's Creed: Ancient Egypt,2018,7.9,44,none,History,Ashraf Ismail
571,Black Desert Online,2015,6.6,44,none,Adventure,Katabelle
572,Resident Evil 7 Teaser Demo: Beginning Hour,2016,8.1,43,none,"Adventure, Horror",Koushi Nakanishi
573,Elite Dangerous: Horizons,2015,8.4,43,none,Sci-Fi,Zora Bishop
574,"Dr. Langeskov, the Tiger and the Terribly Cursed Emerald: A Whirlwind Heist",2015,7.0,43,none,Comedy,William Pugh
575,Mario Tennis: Ultra Smash,2015,5.3,43,none,Sport,Shugo Takahashi
576,Alienation,2016,7.2,43,none,Action,none
577,Jumanji: The Video Game,2019,5.8,43,none,"Action, Adventure, Family",Richard Tawn
578,StarCraft II: Nova Covert Ops,2016,7.6,42,none,Sci-Fi,Jason Huck
579,Asagao Academy: Normal Boots Club,2016,8.8,42,none,Romance,Cara Hillstock
580,Downwell,2015,7.2,42,none,Action,Ojiro Fumoto
581,RWBY: Grimm Eclipse,2015,8.4,42,12,"Action, Fantasy",Kerry Shawcross
582,Adventure Time: Finn & Jake Investigations,2015,6.5,42,Livre,Adventure,Dave Ellis
583,Steamworld Dig 2,2017,8.1,41,none,"Animation, Action, Adventure",Olle Hakansson
584,SCP: Containment Breach,2017,8.4,41,none,Horror,Joonas Rikkonen
585,The Infectious Madness of Doctor Dekker,2017,8.0,41,none,Thriller,Tim Cowles
586,Downfall,2016,8.6,41,none,"Adventure, Horror",Remigiusz Michalski
587,WarioWare Gold,2018,8.1,40,none,"Action, Comedy, Family",Yoichi Tada
588,Dynasty Warriors 9,2018,5.9,40,none,"Action, Adventure, Family",Atsushi Miyauchi
589,MLB 17: The Show,2017,8.1,40,none,none,none
590,Pinstripe,2017,8.4,40,none,Fantasy,Thomas Brush
591,Super Mario Maker for Nintendo 3DS,2016,7.3,40,none,Action,Yosuke Oshino
592,Yandere Simulator,2015,7.1,40,none,"Animation, Drama, Romance",YandereDev
593,Far Cry 5: Lost on Mars,2018,6.1,39,none,Sci-Fi,Steve Byers
594,The Emoji Movie Virtual Reality eXperience,2017,3.5,39,none,Animation,Nicholas Cooper
595,Super Lucky's Tale,2017,7.0,39,none,"Animation, Action, Adventure",Caitlyn Bairstow
596,MLB 18: The Show,2018,8.1,39,none,Sport,Erik Braa
597,Playstation VR Worlds,2016,7.2,39,none,Action,Russell Harding
598,Guilty Gear Xrd: Rev 2,2017,8.3,39,none,Action,none
599,Pokémon Cho Fushigi no Danjon,2015,7.3,39,none,"Action, Adventure, Fantasy",Hironori Ishigami
600,Titan Souls,2015,6.8,39,none,"Action, Adventure, Fantasy",none
601,Starbound,2016,7.2,39,none,"Action, Adventure, Sci-Fi",Finn Brice
602,The Lego Movie 2 Videogame,2019,5.8,38,none,"Animation, Adventure, Family",Jamie Eden
603,Beholder,2016,7.6,38,none,Adventure,Oleg Belov
604,Q.U.B.E. 2,2018,7.1,38,none,Sci-Fi,Tamaryn Payne
605,Trials of the Blood Dragon,2016,5.4,38,none,Action,Michael Biehn
606,Battle Chasers: NightWar,2017,7.9,38,12,"Action, Adventure, Fantasy",Adam Behr
607,Detective Pikachu,2016,6.7,38,none,"Adventure, Crime, Family",Naoki Miyashita
608,Metroid Prime: Federation Force,2016,5.2,38,none,"Action, Adventure, Family",Jason Carr
609,1979 Revolution: Black Friday,2016,7.2,38,none,"Action, Adventure, Drama",Navid Khonsari
610,Armikrog,2015,6.4,38,none,"Adventure, Sci-Fi",Michael J. Nelson
611,Steins;Gate Elite,2018,9.0,37,none,"Comedy, Drama, Romance",Saori Gotô
612,Assassin's Creed Odyssey - The Fate of Atlantis,2019,8.2,37,none,Adventure,Jonathan Dumont
613,Formula 1: 2018,2018,7.9,37,none,Sport,Paul-William Mawhinney
614,Xenoblade Chronicles 2: Torna ~ The Golden Country,2018,7.7,37,none,"Action, Adventure, Family",Ko Kojima
615,Dishidia fainaru fantajî NT,2018,7.1,37,none,Action,Takeo Kujiraoka
616,Farpoint,2017,7.1,37,none,Sci-Fi,Seth Luisi
617,Steven Universe: Attack the Light!,2015,7.5,37,none,"Animation, Action, Adventure",Chris Graham
618,The Sexy Brutale,2017,7.6,37,none,"Adventure, Mystery, Thriller",Charles Griffiths
619,Sousei no onmyouji,2017,8.0,37,none,Action,none
620,Disney Magic Kingdoms,2016,7.8,37,none,"Family, Fantasy",Rob Rowe
621,Yu-Gi-Oh! Legacy of the Duelist,2015,7.6,37,none,"Adventure, Mystery",none
622,The Grand Tour Game,2019,7.6,36,none,Comedy,Jeremy Clarkson
