,name,year,imdb,number_votes,age_rating,runtime,genres,directors,actors
249,Dinastia,(2017– ),7.3,11332,14,42,Drama,Elizabeth Gillies,"Rafael de la Fuente, Robert Christopher Riley, Sam Adegoke, none"
250,Chicago Med: Atendimento de Emergência,(2015– ),7.5,11296,12,43,Drama,Nick Gehlfuss,"Yaya DaCosta, Torrey DeVitto, Brian Tee, none"
251,Electric Dreams,(2017– ),7.3,11292,none,60,Sci-Fi,Steve Buscemi,"Geraldine Chaplin, Bryan Cranston, Terrence Howard, none"
252,Life in Pieces,(2015–2019),8.0,11254,none,22,Comedy,Colin Hanks,"Betsy Brandt, Thomas Sadoski, Zoe Lister-Jones, none"
253,Second Chance,(I) (2016),7.5,11239,none,42,"Drama, Sci-Fi",Robert Kazinsky,"Dilshad Vadsaria, Adhir Kalyan, Ciara Bravo, none"
254,Caçadores de Trolls: Contos de Arcadia,(2016–2018),8.5,11231,Livre,23,"Animation, Action, Adventure",Charlie Saxton,"Lexi Medrano, Anton Yelchin, Kelsey Grammer, none"
255,Emerald City,(2016–2017),7.2,11180,none,60,"Adventure, Drama, Fantasy",Adria Arjona,"Oliver Jackson-Cohen, Ana Ularu, Gerran Howell, none"
256,The Returned,(2015),7.1,11173,none,42,"Drama, Fantasy, Horror",Kevin Alejandro,"Agnes Bruckner, India Ennenga, Sandrine Holt, none"
257,Charmed: Nova Geração,(2018– ),4.4,11115,14,43,"Drama, Fantasy",Melonie Diaz,"Madeleine Mantock, Sarah Jeffery, Rupert Evans, none"
258,S.W.A.T.,(2017– ),6.9,11052,none,43,"Action, Adventure, Crime",Shemar Moore,"Alex Russell, Lina Esco, Kenny Johnson, none"
259,Stitchers,(2015– ),6.9,10995,none,60,"Crime, Drama, Sci-Fi",Emma Ishta,"Kyle Harris, Ritesh Rajan, Salli Richardson-Whitfield, none"
260,Daybreak,(2019),6.8,10965,16,60,"Action, Adventure, Comedy",Colin Ford,"Alyvia Alyn Lind, Sophie Simnett, Austin Crute, none"
261,Content Cop,(2015– ),9.2,10943,none,20,"Documentary, Comedy, Crime",Ian Carter,"Calvin Vail, Bryan Le, Roman Atwood, none"
262,McMafia,(2018– ),7.7,10930,none,60,"Crime, Drama, Thriller",James Norton,"Merab Ninidze, Kirill Pirogov, Igor Pokrajac, none"
263,Fauda,(2015– ),8.3,10842,none,60,"Action, Drama, Thriller",Lior Raz,"Itzik Cohen, Neta Garty, Boaz Konforty, none"
264,Como Vender Drogas Online (Rápido),(2019– ),7.9,10829,18,30,"Comedy, Crime, Drama",Maximilian Mundt,"Danilo Kamber, Lena Klenke, Damian Hardung, none"
265,Um Dia de Cada Vez,(2017– ),8.2,10796,12,30,Comedy,Justina Machado,"Todd Grinnell, Isabella Gomez, Marcel Ruiz, none"
266,Troia: A Queda de Uma Cidade,(2018– ),3.8,10743,16,60,"Action, Adventure, Fantasy",Louis Hunter,"Christiaan Schoombie, Bella Dayne, Chloe Pirrie, none"
267,StartUp,(2016–2018),8.0,10736,none,44,"Crime, Thriller",Adam Brody,"Edi Gathegi, Otmara Marrero, Kristen Ariza, none"
268,Dirty John: O Golpe do Amor,(2018– ),7.1,10644,16,50,Drama,Connie Britton,"Eric Bana, Julia Garner, Cameron Crovetti, none"
269,The Royals,(2015–2018),7.5,10605,none,42,Drama,Joan Collins,"William Moseley, Alexandra Park, Jake Maskall, none"
270,Quarry,(2016– ),8.1,10488,none,60,"Crime, Drama, Thriller",Logan Marshall-Green,"Jodi Balfour, Damon Herriman, Edoardo Ballerini, none"
271,Dilema,(2019– ),6.3,10457,16,55,Thriller,Jane Levy,"Blake Jenner, Keith Powers, Samantha Marie Ware, none"
272,Aquarius,(2015–2016),7.1,10446,none,42,"Biography, Crime, Drama",David Duchovny,"Grey Damon, Gethin Anthony, Emma Dumont, none"
273,The Late Show with Stephen Colbert,(2015– ),7.3,10424,none,41,"Comedy, Talk-Show",Stephen Colbert,"Jonathan Batiste, Stay Human, Brian Stack, none"
274,The Politician,(2019– ),7.6,10376,none,42,"Comedy, Drama",Ben Platt,"Zoey Deutch, Lucy Boynton, Bob Balaban, none"
275,Easy,(2016– ),6.9,10358,none,30,Comedy,Michael Chernus,"Jane Adams, Elizabeth Reaser, Jacqueline Toboni, none"
276,Enaaya,(2019– ),8.9,10301,none,25,Drama,Mehwish Hayat,"Azfar Rehman, Asad Siddiqui, Faryal Mehmood, none"
277,Britannia,(2017– ),6.7,10298,none,60,"Action, Drama, Fantasy",Mackenzie Crook,"David Morrissey, Nikolaj Lie Kaas, Eleanor Worthington-Cox, none"
278,Nightflyers,(2018),5.9,10286,none,60,"Horror, Sci-Fi",Eoin Macken,"David Ajala, Jodie Turner-Smith, Angus Sampson, none"
279,Deutschland 83,(2015),8.1,10155,none,42,"Drama, History, Romance",Jonas Nay,"Maria Schrader, Ulrich Noethen, Sylvester Groth, none"
280,Better Things,(2016– ),7.7,10145,none,22,"Comedy, Drama",Pamela Adlon,"Mikey Madison, Hannah Alligood, Olivia Edward, none"
281,Segredos e Mentiras,(2015–2016),7.6,10136,none,43,"Crime, Drama",Ryan Phillippe,"Juliette Lewis, KaDee Strickland, Natalie Martinez, none"
282,The Whispers,(2015),7.2,10092,none,60,"Drama, Horror, Mystery",Lily Rabe,"Barry Sloane, Milo Ventimiglia, Derek Webster, none"
283,Six,(2017–2018),7.3,10045,none,60,"Action, Drama, History",Barry Sloane,"Kyle Schmid, Juan Pablo Raba, Edwin Hodge, none"
284,Código Negro,(2015–2018),8.1,9987,none,42,Drama,Marcia Gay Harden,"Harry Ford, Benjamin Hollingsworth, Luis Guzmán, none"
285,Tin Star,(2017– ),7.3,9985,none,60,"Crime, Drama, Thriller",Tim Roth,"Genevieve O'Reilly, Abigail Lawrie, Christina Hendricks, none"
286,Slasher,(2016– ),6.7,9901,18,60,"Crime, Drama, Horror",Dean McDermott,"Joanne Vannicola, Paula Brancati, Christopher Jacot, none"
287,Mayans M.C.,(2018– ),7.5,9894,none,60,"Crime, Drama, Thriller",JD Pardo,"Clayton Cardenas, Sarah Bolger, Michael Irby, none"
288,The Catch,(2016–2017),7.2,9822,none,43,"Crime, Drama, Romance",Mireille Enos,"Peter Krause, Jay Hayden, Rose Rollins, none"
289,CSI: Cyber,(2015–2016),5.4,9821,none,44,"Crime, Drama, Mystery",Patricia Arquette,"James Van Der Beek, Shad Moss, Charley Koontz, none"
290,Letterkenny,(2016– ),8.6,9783,none,30,Comedy,Jared Keeso,"Michelle Mylett, Nathan Dales, K. Trevor Wilson, none"
291,Insecure,(2016– ),7.8,9688,none,30,"Comedy, Romance",Issa Rae,"Yvonne Orji, Jay Ellis, Lisa Joyce, none"
292,Flaked,(2016– ),7.2,9664,16,30,"Comedy, Drama",Will Arnett,"David Sullivan, Ruth Kearney, George Basil, none"
293,Siren,(2018– ),7.0,9612,none,60,"Drama, Fantasy",Alex Roe,"Eline Powell, Fola Evans-Akingbola, Ian Verdun, none"
294,Unforgotten,(2015– ),8.2,9606,none,45,"Crime, Drama, Mystery",Nicola Walker,"Sanjeev Bhaskar, Lewis Reeves, Jordan Long, none"
295,Paradise PD,(2018– ),7.0,9538,16,28,"Animation, Comedy, Crime",Sarah Chalke,"David Herman, Tom Kenny, Kyle Kinane, none"
296,BrainDead,(2016),8.1,9522,none,44,"Comedy, Drama, Horror",Mary Elizabeth Winstead,"Danny Pino, Aaron Tveit, Tony Shalhoub, none"
297,24: Legacy,(2016–2017),6.2,9478,none,41,"Action, Crime, Drama",Corey Hawkins,"Miranda Otto, Anna Diop, Teddy Sears, none"
298,Patriota,(II) (2015– ),8.3,9465,none,58,"Comedy, Drama, Thriller",Michael Dorman,"Kurtwood Smith, Michael Chernus, Kathleen Munroe, none"
299,Baskets,(2016–2019),7.5,9450,none,30,"Comedy, Drama",Zach Galifianakis,"Martha Kelly, Louie Anderson, Alex Morris, none"
300,Minority Report,(2015),5.9,9424,none,42,"Action, Crime, Drama",Meagan Good,"Stark Sands, Nick Zano, Daniel London, none"
301,The Purge,(2018– ),6.4,9415,16,60,"Action, Drama, Horror",Gabriel Chavarria,"Derek Luke, Hannah Emily Anderson, Max Martini, none"
302,Amor Moderno,(2019– ),8.0,9382,none,32,"Comedy, Romance",Anne Hathaway,"Tina Fey, Andy Garcia, Dev Patel, none"
303,Vikingane,(2016– ),7.8,9283,none,30,Comedy,Kåre Conradi,"Nils Jørgen Kaalstad, Jon Øigarden, Bjørn Myrene, none"
304,Breathe,(2018– ),8.4,9234,none,45,"Crime, Drama, Thriller",Madhavan,"Amit Sadh, Sapna Pabbi, Shriswara, none"
305,The Passage,(2019),7.4,9229,none,60,"Action, Adventure, Drama",Mark-Paul Gosselaar,"Saniyya Sidney, Jamie McShane, Caroline Chikezie, none"
306,Shades of Blue: Segredos Policiais,(2016–2018),7.0,9202,14,60,"Action, Crime, Drama",Jennifer Lopez,"Ray Liotta, Drea de Matteo, Dayo Okeniyi, none"
307,Star vs. As Forças do Mal,(2015–2019),8.1,9194,Livre,22,"Animation, Action, Adventure",Eden Sher,"Adam McArthur, Grey Griffin, Daron Nefcy, none"
308,Containment,(2016),7.2,9127,none,60,Drama,David Gyasi,"Christina Moses, Chris Wood, Claudia Black, none"
309,Absentia,(2017– ),7.3,9092,none,60,"Crime, Drama, Mystery",Stana Katic,"Patrick Heusinger, Cara Theobold, Neil Jackson, none"
310,Warrior,(2019– ),8.2,9008,none,60,"Action, Crime, Drama",Andrew Koji,"Olivia Cheng, Jason Tobin, Dianne Doan, none"
311,As Telefonistas,(2017– ),7.8,9006,18,50,Drama,Blanca Suárez,"Yon González, Ana Fernández, Nadia de Santiago, none"
312,Deadly Class,(2018–2019),7.8,8997,none,60,"Action, Crime, Drama",Benedict Wong,"Benjamin Wadsworth, Lana Condor, María Gabriela de Faría, none"
313,The Twilight Zone,(2019– ),5.8,8950,none,60,"Drama, Fantasy, Horror",Jordan Peele,"David Epstein, Paolo Maiolo, Shalyn Ferdinand, none"
314,Good Behavior,(2016–2017),8.1,8941,none,60,"Crime, Drama, Mystery",Michelle Dockery,"Juan Diego Botto, Terry Kinney, Lusia Strus, none"
315,Man Seeking Woman,(2015–2017),7.7,8928,none,21,"Comedy, Fantasy, Romance",Jay Baruchel,"Eric André, Britt Lower, Robin Duke, none"
316,Amizade Dolorida,(2019– ),7.2,8903,none,107,"Comedy, Drama",Zoe Levin,"Brendan Scannell, Micah Stock, Theo Stockman, none"
317,Backstrom,(2015),7.4,8877,none,44,"Comedy, Crime, Drama",Rainn Wilson,"Genevieve Angelson, Kristoffer Polaha, Page Kennedy, none"
318,Jinn,(2019– ),3.5,8855,none,30,"Drama, Fantasy, Horror",Salma Malhas,"Sultan Alkhail, Hamzeh Okab, Aysha Shahaltough, none"
319,American Crime,(2015–2017),7.8,8831,none,43,"Crime, Drama",Felicity Huffman,"Regina King, Timothy Hutton, Richard Cabral, none"
320,Imposters,(2017– ),7.8,8799,none,41,"Comedy, Crime, Drama",Inbar Lavi,"Rob Heaps, Parker Young, Marianne Rendón, none"
321,Mob Psycho 100,(2016– ),8.5,8754,none,24,"Animation, Action, Horror",Setsuo Ito,"Takahiro Sakurai, Akio Ôtsuka, Miyu Irino, none"
322,Vis a vis,(2015–2019),8.3,8753,16,53,"Drama, Thriller",Alba Flores,"María Isabel Díaz Lago, Marta Aledo, Najwa Nimri, none"
323,The Gift,(2019– ),7.8,8635,14,40,"Drama, Fantasy, Mystery",Beren Saat,"Mehmet Günsür, Metin Akdülger, Melisa Senolsun, none"
324,Taken,(2017–2018),6.6,8539,none,41,"Action, Drama, Thriller",Clive Standen,"Jennifer Beals, Adam Goldberg, Jessica Camacho, none"
325,The Messengers,(2015),6.5,8529,none,60,"Drama, Fantasy, Mystery",Shantel VanSanten,"Diogo Morgado, JD Pardo, Joel Courtney, none"
326,Tokyo Ghoul: Root A,(2015),7.7,8525,none,24,"Animation, Action, Drama",Brina Palencia,"Michelle Rojas, Austin Tindle, Morgan Laure, none"
327,Apocalipse V,(2019– ),6.1,8424,16,60,"Drama, Horror, Sci-Fi",Ian Somerhalder,"Adrian Holmes, Jacky Lai, Kyle Breitkopf, none"
328,Chance,(2016–2017),7.7,8413,none,60,"Drama, Mystery, Thriller",Hugh Laurie,"Ethan Suplee, Greta Lee, Stefania LaVie Owen, none"
329,Marianne,(2019– ),7.5,8363,16,50,Horror,Victoire Du Bois,"Lucie Boujenah, Tiphaine Daviot, Ralph Amoussou, none"
330,As Crônicas de Frankenstein,(2015– ),7.3,8352,16,48,"Crime, Drama, Fantasy",Sean Bean,"Richie Campbell, Tom Ward, Ryan Sampson, none"
331,Smoke,(2018–2019),8.8,8299,none,40,Thriller,Jim Sarbh,"Kalki Koechlin, Mandira Bedi, Gulshan Devaiah, none"
